step,local_step,timestamp,elapsed_time_sec,loss,config_idx,ps_num,worker_num,intra_op_parallelism_threads,inter_op_parallelism_threads
1,1,1512396053.029401,1.905876,0.693146,0,33,3,12,4
2,1,1512396053.148490,1.817333,0.693146,0,33,3,12,4
3,3,1512396053.698786,2.102798,0.692138,0,33,3,12,4
4,4,1512396054.521993,1.491271,0.692231,0,33,3,12,4
5,4,1512396054.635622,1.473752,0.692231,0,33,3,12,4
6,6,1512396055.389956,1.669938,0.691457,0,33,3,12,4
7,7,1512396056.029107,1.505977,0.691402,0,33,3,12,4
8,7,1512396056.179174,1.542084,0.691402,0,33,3,12,4
9,9,1512396056.994758,1.603212,0.690670,0,33,3,12,4
10,10,1512396057.641706,1.611267,0.690571,0,33,3,12,4
11,10,1512396057.765942,1.585481,0.690571,0,33,3,12,4
12,12,1512396058.812623,1.816345,0.689853,0,33,3,12,4
13,12,1512396059.130910,1.487739,0.689963,0,33,3,12,4
14,12,1512396059.182749,1.415336,0.689953,0,33,3,12,4
15,15,1512396060.458475,1.644242,0.689081,0,33,3,12,4
16,15,1512396060.661242,1.476977,0.689195,0,33,3,12,4
17,15,1512396060.755415,1.623015,0.689096,0,33,3,12,4
18,18,1512396062.104890,1.644927,0.688212,0,33,3,12,4
19,18,1512396062.189880,1.433527,0.688415,0,33,3,12,4
20,18,1512396062.317838,1.655033,0.688316,0,33,3,12,4
21,21,1512396063.818836,1.499430,0.687560,0,33,3,12,4
22,21,1512396063.860809,1.670002,0.687560,0,33,3,12,4
23,21,1512396063.938063,1.831487,0.687380,0,33,3,12,4
24,24,1512396065.368099,1.506053,0.686829,0,33,3,12,4
25,24,1512396065.387129,1.567076,0.686829,0,33,3,12,4
26,24,1512396065.623010,1.683260,0.686391,0,33,3,12,4
27,27,1512396066.899506,1.530012,0.686288,0,33,3,12,4
28,27,1512396066.943921,1.555259,0.686288,0,33,3,12,4
29,27,1512396067.279011,1.654419,0.685417,0,33,3,12,4
30,30,1512396068.441712,1.496546,0.685097,0,33,3,12,4
31,30,1512396068.537109,1.636061,0.685097,0,33,3,12,4
32,30,1512396068.910254,1.629784,0.684832,0,33,3,12,4
33,33,1512396070.057606,1.614478,0.684440,0,33,3,12,4
34,33,1512396070.200613,1.662034,0.684440,0,33,3,12,4
35,34,1512396070.621136,1.709378,0.683312,0,33,3,12,4
36,36,1512396071.644633,1.585547,0.683420,0,33,3,12,4
37,36,1512396071.749393,1.547566,0.683420,0,33,3,12,4
38,38,1512396072.437410,1.814591,0.682642,0,33,3,12,4
39,39,1512396073.241947,1.596272,0.682578,0,33,3,12,4
40,39,1512396073.247710,1.496764,0.682578,0,33,3,12,4
41,41,1512396074.126056,1.686942,0.681598,0,33,3,12,4
42,42,1512396074.753081,1.509599,0.681896,0,33,3,12,4
43,42,1512396074.760368,1.511102,0.681896,0,33,3,12,4
44,44,1512396075.819905,1.692003,0.680754,0,33,3,12,4
45,45,1512396076.371060,1.616507,0.681486,0,33,3,12,4
46,45,1512396076.517464,1.755594,0.681486,0,33,3,12,4
47,47,1512396077.439187,1.617693,0.680056,0,33,3,12,4
48,47,1512396077.884591,1.512122,0.680209,0,33,3,12,4
49,48,1512396078.015537,1.496613,0.680043,0,33,3,12,4
50,50,1512396079.226722,1.785895,0.679646,0,33,3,12,4
51,50,1512396079.257967,1.372316,0.679665,0,33,3,12,4
52,50,1512396079.566927,1.550128,0.679469,0,33,3,12,4
53,53,1512396080.705585,1.446180,0.678940,0,33,3,12,4
54,53,1512396080.910343,1.681967,0.678187,0,33,3,12,4
55,53,1512396081.127011,1.559144,0.678833,0,33,3,12,4
56,56,1512396082.401560,1.694833,0.678213,0,33,3,12,4
57,56,1512396082.579505,1.667455,0.677493,0,33,3,12,4
58,56,1512396082.622098,1.493902,0.678115,0,33,3,12,4
59,59,1512396083.808096,1.405061,0.677237,0,33,3,12,4
60,59,1512396084.198928,1.575624,0.677134,0,33,3,12,4
61,59,1512396084.211997,1.630888,0.676636,0,33,3,12,4
62,62,1512396085.330886,1.521910,0.676552,0,33,3,12,4
63,62,1512396085.763790,1.563938,0.676444,0,33,3,12,4
